name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cl_minmax
All Shook Up,Elvis Presley,0.624,0.468,-12.162,0.132,0.881,6.35e-06,0.144,0.952,74.139,3
I've Got You Under My Skin - Remastered 1998,Frank Sinatra,0.585,0.247,-12.612,0.04,0.452,8.85e-06,0.107,0.591,127.15,3
Smoke Gets In Your Eyes,The Platters,0.29,0.227,-13.06,0.0311,0.944,7.95e-05,0.617,0.224,114.278,3
"What'd I Say, Pt. 1 & 2",Ray Charles,0.54,0.681,-5.44,0.0508,0.808,0.0,0.162,0.794,88.385,3
Dream A Little Dream Of Me,Ella Fitzgerald,0.455,0.167,-13.613,0.0739,0.918,0.0,0.173,0.404,76.118,3
That'll Be The Day,Buddy Holly,0.536,0.637,-7.774,0.0343,0.467,0.0,0.0838,0.798,115.24,2
Blueberry Hill,Fats Domino,0.489,0.499,-9.702,0.0271,0.74,0.000236,0.156,0.829,133.341,3
Mack the Knife,Bobby Darin,0.549,0.529,-12.291,0.108,0.76,0.0,0.206,0.464,82.755,3
All I Have to Do Is Dream,The Everly Brothers,0.542,0.347,-14.011,0.0268,0.783,0.0,0.144,0.596,103.709,3
Sea Of Love,Phil Phillips,0.289,0.353,-12.302,0.0292,0.862,1.35e-06,0.172,0.312,85.436,3
True Love Ways,Buddy Holly,0.221,0.124,-19.545,0.0346,0.8,0.103,0.316,0.276,82.727,3
That's Amore,Dean Martin,0.407,0.17,-13.409,0.0341,0.76,0.0,0.0737,0.577,124.047,3
Johnny B. Goode,Chuck Berry,0.516,0.798,-9.049,0.083,0.738,0.000128,0.305,0.969,168.195,2
Jambalaya (On The Bayou),Fats Domino,0.605,0.845,-8.672,0.0596,0.819,0.000267,0.253,0.965,75.322,2
I Can't Stop Loving You,Ray Charles,0.31,0.279,-13.552,0.0308,0.815,0.0,0.318,0.377,79.397,3
Wake up Little Susie,The Everly Brothers,0.709,0.62,-9.382,0.034,0.318,0.0,0.0426,0.936,93.723,2
Beyond the Sea,Bobby Darin,0.521,0.516,-7.456,0.0369,0.723,0.0,0.257,0.569,136.483,3
Rave On,Buddy Holly,0.566,0.711,-6.536,0.0335,0.611,6.59e-06,0.417,0.961,159.629,2
"Good Golly, Miss Molly",Little Richard,0.57,0.863,-10.82,0.0526,0.581,0.00412,0.313,0.909,163.837,2
Unforgettable,Nat King Cole,0.349,0.182,-13.507,0.031,0.92,0.0152,0.143,0.178,136.094,3
Broken Hearted Melody,Sarah Vaughan,0.448,0.5,-11.304,0.0356,0.744,0.0,0.191,0.768,132.443,3
Ain't That A Shame,Fats Domino,0.486,0.501,-8.57,0.0326,0.767,7.6e-05,0.0679,0.942,122.894,3
Dream Lover,Bobby Darin,0.526,0.774,-1.692,0.0459,0.715,0.0,0.437,0.715,131.715,2
Summertime Blues,Eddie Cochran,0.717,0.883,-8.686,0.0608,0.125,0.167,0.176,0.942,156.299,2
Great Balls Of Fire,Jerry Lee Lewis,0.468,0.527,-13.897,0.0683,0.554,0.0,0.061,0.855,159.501,2
(‘Til) I Kissed You,The Everly Brothers,0.58,0.356,-12.894,0.0387,0.338,0.0,0.335,0.7,140.647,2
Peggy Sue,Buddy Holly,0.676,0.424,-8.132,0.0329,0.947,0.000494,0.119,0.493,148.373,3
Don't Be Cruel,Elvis Presley,0.697,0.55,-11.496,0.179,0.856,3.44e-05,0.0907,0.844,84.802,3
Banana Boat (Day-O),Harry Belafonte,0.797,0.105,-16.881,0.0969,0.885,0.000116,0.108,0.419,122.545,3
Smile,Nat King Cole,0.226,0.136,-19.203,0.0327,0.862,8.07e-06,0.302,0.263,79.37,3
Twilight Time,The Platters,0.408,0.366,-10.434,0.0296,0.869,0.0,0.267,0.294,77.711,3
